name,x,y,start_time,end_time,service_time,demand,revenue
task_0,17,13,0,240,30,10,50
task_1,14,13,240,480,30,10,50
task_2,16,26,480,720,30,10,50
task_3,16,19,0,240,30,10,50
task_4,0,25,240,480,30,10,50
task_5,21,23,480,720,30,10,50
task_6,1,0,0,240,30,10,50
task_7,3,29,240,480,30,10,50
task_8,0,5,480,720,30,10,50
task_9,15,22,0,240,30,10,50
task_10,29,27,240,480,30,10,50
task_11,4,25,480,720,30,10,50
task_12,25,13,0,240,30,10,50
task_13,4,12,240,480,30,10,50
task_14,11,27,480,720,30,10,50
task_15,16,3,0,240,30,10,50
task_16,24,17,240,480,30,10,50
task_17,3,18,480,720,30,10,50
task_18,15,20,0,240,30,10,50
task_19,8,8,240,480,30,10,50
task_20,4,28,480,720,30,10,50
task_21,7,29,0,240,30,10,50
task_22,29,26,240,480,30,10,50
task_23,24,27,480,720,30,10,50
task_24,29,25,0,240,30,10,50
task_25,1,5,240,480,30,10,50
task_26,1,6,480,720,30,10,50
task_27,1,22,0,240,30,10,50
task_28,18,16,240,480,30,10,50
task_29,21,19,480,720,30,10,50
task_30,25,15,0,240,30,10,50
task_31,20,23,240,480,30,10,50
task_32,28,3,480,720,30,10,50
task_33,5,6,0,240,30,10,50
task_34,26,24,240,480,30,10,50
task_35,3,22,480,720,30,10,50
task_36,8,17,0,240,30,10,50
task_37,12,17,240,480,30,10,50
task_38,20,2,480,720,30,10,50
task_39,6,8,0,240,30,10,50
